st_model,embedding,classifier,accuracy
mdl_distilrobertav1,ds_st,cl_rf,0.7012814847547504
mdl_distilrobertav1,ds_tfidf,cl_rf,0.7114449845338047
mdl_distilrobertav1,ds_count,cl_rf,0.7008395934600088
mdl_distilrobertav1,ds_rand,cl_rf,0.6955368979231109
mdl_distilrobertav1,ds_zeros,cl_rf,0.6999558108705258
mdl_micse,ds_st,cl_rf,0.6345558992487847
mdl_micse,ds_tfidf,cl_rf,0.6539991162174105
mdl_micse,ds_count,cl_rf,0.653557224922669
mdl_micse,ds_rand,cl_rf,0.622182942996023
mdl_micse,ds_zeros,cl_rf,0.6367653557224923
mdl_minilml12,ds_st,cl_rf,0.6844896155545735
mdl_minilml12,ds_tfidf,cl_rf,0.6973044631020769
mdl_minilml12,ds_count,cl_rf,0.6915598762704375
mdl_minilml12,ds_rand,cl_rf,0.6699072028281042
mdl_minilml12,ds_zeros,cl_rf,0.6760936809544852
mdl_minilml6,ds_st,cl_rf,0.684931506849315
mdl_minilml6,ds_tfidf,cl_rf,0.7065841802916483
mdl_minilml6,ds_count,cl_rf,0.6933274414494034
mdl_minilml6,ds_rand,cl_rf,0.6575342465753424
mdl_minilml6,ds_zeros,cl_rf,0.6977463543968184
mdl_mpnetv2,ds_st,cl_rf,0.7326557666813964
mdl_mpnetv2,ds_tfidf,cl_rf,0.7375165709235528
mdl_mpnetv2,ds_count,cl_rf,0.7445868316394167
mdl_mpnetv2,ds_rand,cl_rf,0.7180733539549271
mdl_mpnetv2,ds_zeros,cl_rf,0.7401679186920017
mdl_robertav1,ds_st,cl_rf,0.7043747238179408
mdl_robertav1,ds_tfidf,cl_rf,0.7026071586389748
mdl_robertav1,ds_count,cl_rf,0.7074679628811312
mdl_robertav1,ds_rand,cl_rf,0.6844896155545735
mdl_robertav1,ds_zeros,cl_rf,0.6950950066283694
mdl_robertav3,ds_st,cl_rf,0.6831639416703491
mdl_robertav3,ds_tfidf,cl_rf,0.6990720282810429
mdl_robertav3,ds_count,cl_rf,0.6840477242598321
mdl_robertav3,ds_rand,cl_rf,0.6769774635439681
mdl_robertav3,ds_zeros,cl_rf,0.6681396376491383
mdl_sentencet5,ds_st,cl_rf,0.7149801148917366
mdl_sentencet5,ds_tfidf,cl_rf,0.7370746796288113
mdl_sentencet5,ds_count,cl_rf,0.7313300927971719
mdl_sentencet5,ds_rand,cl_rf,0.7171895713654441
mdl_sentencet5,ds_zeros,cl_rf,0.7193990278391516
mdl_distilrobertav1,ds_st,cl_dense,0.738842248916626
mdl_distilrobertav1,ds_tfidf,cl_dense,0.736190915107727
mdl_distilrobertav1,ds_count,cl_dense,0.720282793045044
mdl_distilrobertav1,ds_rand,cl_dense,0.7003977298736572
mdl_distilrobertav1,ds_zeros,cl_dense,0.7238179445266724
mdl_micse,ds_st,cl_dense,0.6619531512260437
mdl_micse,ds_tfidf,cl_dense,0.6906760931015015
mdl_micse,ds_count,cl_dense,0.6999558210372925
mdl_micse,ds_rand,cl_dense,0.6619531512260437
mdl_micse,ds_zeros,cl_dense,0.6774193644523621
mdl_minilml12,ds_st,cl_dense,0.7008395791053772
mdl_minilml12,ds_tfidf,cl_dense,0.7061423063278198
mdl_minilml12,ds_count,cl_dense,0.7127706408500671
mdl_minilml12,ds_rand,cl_dense,0.6566504836082458
mdl_minilml12,ds_zeros,cl_dense,0.7136544585227966
mdl_minilml6,ds_st,cl_dense,0.7193990349769592
mdl_minilml6,ds_tfidf,cl_dense,0.7193990349769592
mdl_minilml6,ds_count,cl_dense,0.7052584886550903
mdl_minilml6,ds_rand,cl_dense,0.6570923328399658
mdl_minilml6,ds_zeros,cl_dense,0.7145382165908813
mdl_mpnetv2,ds_st,cl_dense,0.7507733106613159
